,Page_Link,Page_Address,Price,Price_Change,Sys_Date
52,http://www.har.com/2507-saltus/sale_93589582,"2507 Saltus, Houston, TX 77003",189000,None,06/04/2017
53,http://www.har.com/1709-gano-st/sale_70417501,"1709 Gano St, Houston, TX 77009",189000,price-reduction,06/04/2017
54,http://www.har.com/8210-fulton-st/sale_10864506,"8210 Fulton St, Houston, TX 77022",189900,None,06/04/2017
55,http://www.har.com/4110-europa-st/sale_14190554,"4110 Europa St, Houston, TX 77022",190000,None,06/04/2017
56,http://www.har.com/2509-terry-st/sale_25537771,"2509 Terry St, Houston, TX 77009",190000,None,06/04/2017
57,http://www.har.com/4605-fulton-st/sale_4549725,"4605 Fulton St, Houston, TX 77009",190000,price-reduction,06/04/2017
58,http://www.har.com/408-n-cesar-chavez-blv/sale_70743014,"408 N Cesar Chavez Blv, Houston, TX 77011",195000,None,06/04/2017
59,http://www.har.com/334-forest-hill-blvd/sale_13022249,"334 Forest Hill Blvd, Houston Tx, TX 77011",199000,None,06/04/2017
60,http://www.har.com/4212-siegel-st/sale_37643288,"4212 Siegel St, Houston, TX 77009",199000,price-reduction,06/04/2017
61,http://www.har.com/751-worthshire-2/sale_81305809,"751 Worthshire #2, Houston, TX 77008",199500,price-reduction,06/04/2017
62,http://www.har.com/218-eastwood-st/sale_6095924,"218 Eastwood St, Houston, TX 77011",199900,None,06/04/2017
63,http://www.har.com/4711-edison-st/sale_65106414,"4711 Edison St, Houston, TX 77009",199900,None,06/04/2017
64,http://www.har.com/2020-fulton-st/sale_65902530,"2020 Fulton St, Houston, TX 77009",200000,None,06/04/2017
65,http://www.har.com/2801-cochran-st/sale_59304822,"2801 Cochran St, Houston, TX 77009",200000,None,06/04/2017
66,http://www.har.com/203-lockwood/sale_42407944,"203 Lockwood, HOUSTON, TX 77011",200000,None,06/04/2017
67,http://www.har.com/5001-hardy/sale_18045405,"5001 Hardy, Houston, TX 77009",200000,None,06/04/2017
68,http://www.har.com/1906-tabor-st/sale_72703445,"1906 Tabor St, Houston, TX 77009",205000,price-reduction,06/04/2017
69,http://www.har.com/1310-e-36th-st/sale_37337130,"1310 E 36th St, Houston, TX 77022",208000,None,06/04/2017
