,Page_Link,Page_Address,Price,Price_Change,Sys_Date
53,1709-gano-st/sale_70417501,"1709 Gano St, Houston, TX 77009",189000,price-reduction,6/4/17
54,8210-fulton-st/sale_10864506,"8210 Fulton St, Houston, TX 77022",189900,None,6/4/17
55,4110-europa-st/sale_14190554,"4110 Europa St, Houston, TX 77022",190000,None,6/4/17
56,2509-terry-st/sale_25537771,"2509 Terry St, Houston, TX 77009",190000,None,6/4/17
57,4605-fulton-st/sale_4549725,"4605 Fulton St, Houston, TX 77009",190000,price-reduction,6/4/17
58,408-n-cesar-chavez-blv/sale_70743014,"408 N Cesar Chavez Blv, Houston, TX 77011",195000,None,6/4/17
59,334-forest-hill-blvd/sale_13022249,"334 Forest Hill Blvd, Houston Tx, TX 77011",199000,None,6/4/17
60,4212-siegel-st/sale_37643288,"4212 Siegel St, Houston, TX 77009",199000,price-reduction,6/4/17
61,751-worthshire-2/sale_81305809,"751 Worthshire #2, Houston, TX 77008",199500,price-reduction,6/4/17
62,218-eastwood-st/sale_6095924,"218 Eastwood St, Houston, TX 77011",199900,None,6/4/17
63,4711-edison-st/sale_65106414,"4711 Edison St, Houston, TX 77009",199900,None,6/4/17
64,2020-fulton-st/sale_65902530,"2020 Fulton St, Houston, TX 77009",200000,None,6/4/17
65,2801-cochran-st/sale_59304822,"2801 Cochran St, Houston, TX 77009",200000,None,6/4/17
66,203-lockwood/sale_42407944,"203 Lockwood, HOUSTON, TX 77011",200000,None,6/4/17
67,5001-hardy/sale_18045405,"5001 Hardy, Houston, TX 77009",200000,None,6/4/17
68,1906-tabor-st/sale_72703445,"1906 Tabor St, Houston, TX 77009",205000,price-reduction,6/4/17
69,1310-e-36th-st/sale_37337130,"1310 E 36th St, Houston, TX 77022",208000,None,6/4/17
70,1309-caplin-st/sale_34350824,"1309 Caplin St, Houston, TX 77022",209900,None,6/4/17
71,741-worthshire-st-0/sale_42734695,"741 Worthshire St #0, Houston, TX 77008",209900,price-reduction,6/4/17
72,913-oak-st/sale_65915944,"913 Oak St, Houston, TX 77018",210000,None,6/4/17
73,903-lehman-st/sale_19577436,"903 Lehman St, Houston, TX 77018",215000,None,6/4/17
74,406-barkley-st/sale_54176034,"406 Barkley St, Houston, TX 77022",219000,price-reduction,6/4/17
75,1860-white-oak-dr-201/sale_83107864,"1860 White Oak Dr #201, Houston, TX 77009",222000,None,6/4/17
76,4106-europa-st/sale_22893484,"4106 Europa St, Houston, TX 77022",225000,None,6/4/17
77,306-stiles-st/sale_21877468,"306 Stiles St, Houston, TX 77011",225000,None,6/4/17
78,4423-harvard-st/sale_58168764,"4423 Harvard St, Houston, TX 77018",228000,price-reduction,6/4/17
79,630-w-22nd-st-a/sale_88112419,"630 W 22nd St #A, Houston, TX 77008",229000,None,6/4/17
80,5206-a-hershe/sale_51393264,"5206-A Hershe, Houston, TX 77020",229900,None,6/4/17
81,1319-idylwild-st/sale_2255441,"1319 Idylwild St, Houston, TX 77009",229900,price-reduction,6/4/17
82,810-e-32nd-st/sale_16537531,"810 E 32nd St, Houston, TX 77022",229900,None,6/4/17
83,5018-gano-st/sale_35252844,"5018 Gano St, Houston, TX 77009",230000,None,6/4/17
84,5206-b-hershe/sale_61231201,"5206-B Hershe, Houston, TX 77020",232900,None,6/4/17
85,2526-roy-cir/sale_6059650,"2526 Roy Cir, Houston, TX 77007",234000,price-reduction,6/4/17
86,5214-robertson-st/sale_43417442,"5214 Robertson St, Houston, TX 77009",235000,None,6/4/17
87,784-worthshire-st/sale_79324240,"784 Worthshire St, Houston, TX 77008",236900,None,6/4/17
88,2112-common/sale_89277674,"2112 Common, Houston, TX 77009",239000,None,6/4/17
89,5405-n-capitol/sale_34050264,"5405 N Capitol, Houston, TX 77011",239000,None,6/4/17
90,1043-w-30th-st/sale_34315468,"1043 W 30th St, Houston, TX 77018",239000,None,6/4/17
91,416-forest-hill/sale_57178944,"416 Forest Hill, Houston, TX 77011",239900,None,6/4/17
92,4622-n-ella-blvd/sale_23161535,"4622 N Ella Blvd, Houston, TX 77018",240000,price-reduction,6/4/17
93,6533-enid-st/sale_6011864,"6533 Enid St, Houston, TX 77022",242900,price-reduction,6/4/17
94,407-71st/sale_7817343,"407 71st, Houston, TX 77011",244000,price-reduction,6/4/17
95,1115-hays-st/sale_86473364,"1115 Hays St, Houston, TX 77009",246000,price-reduction,6/4/17
96,2120-gentry-st/sale_68624645,"2120 Gentry St, Houston, TX 77009",249000,None,6/4/17
97,212-gale-st/sale_97578320,"212 Gale St, Houston, TX 77009",249000,None,6/4/17
98,4314-cetti-st/sale_4741042,"4314 Cetti St, Houston, TX 77009",249900,price-reduction,6/4/17
99,1117-bunton/sale_94734642,"1117 Bunton, Houston, TX 77009",249900,None,6/4/17
100,934-hillstar/sale_95817294,"934 Hillstar, HOUSTON, TX 77009",249900,None,6/4/17
101,4818-texas-st/sale_46965964,"4818 Texas St, Houston, TX 77011",250000,None,6/4/17
102,120-n-edgewood-st/sale_31636046,"120 N Edgewood St, Houston, TX 77011",250000,price-reduction,6/4/17
103,838-26th/sale_8633353,"838 26th, Houston, TX 77008",250000,price-reduction,6/4/17
104,805-enid/sale_2748879,"805 Enid, Houston, TX 77009",250000,None,6/4/17
105,1122-w-31st-st/sale_80090664,"1122 W 31st St, Houston, TX 77018",250000,price-reduction,6/4/17
106,1113-bunton/sale_75682475,"1113 Bunton, Houston, TX 77009",254900,None,6/4/17
107,215-w-norma-st-103/sale_47694234,"215 W Norma St #103, Houston, TX 77009",255000,price-reduction,6/4/17
108,319-caplin-st/sale_24013894,"319 Caplin St, Houston, TX 77022",257900,price-reduction,6/4/17
109,725-worthshire-st/sale_88405174,"725 Worthshire St, Houston, TX 77008",259000,price-reduction,6/4/17
110,215-w-norma-st-104/sale_42934895,"215 W Norma St #104, Houston, TX 77009",259000,price-reduction,6/4/17
111,4908-feagan-st/sale_58023644,"4908 Feagan St, Houston, TX 77007",259900,None,6/4/17
112,823-dorothy-st/sale_67285050,"823 Dorothy St, Houston, TX 77007",259900,price-reduction,6/4/17
113,1131-louise-st/sale_43919456,"1131 Louise St, Houston, TX 77009",259900,price-reduction,6/4/17
114,4205-bering-st/sale_56010145,"4205 Bering St, Houston, TX 77003",259900,price-reduction,6/4/17
115,3911-kennon-st--a/sale_74320604,"3911 Kennon St  A, Houston, TX 77009",260000,None,6/4/17
116,4314-allen-st/sale_70277407,"4314 Allen St, Houston, TX 77007",260000,None,6/4/17
117,4343-cetti/sale_61460464,"4343 Cetti, Houston, TX 77009",264900,None,6/4/17
118,5110-prosperity-cir/sale_37389426,"5110 Prosperity Cir, Houston, TX 77018",265000,None,6/4/17
119,135-n-maplewood-st/sale_3126419,"135 N Maplewood St, Houston, TX 77011",265000,price-reduction,6/4/17
120,1918-goliad-st/sale_52642521,"1918 Goliad St, Houston, TX 77007",268000,None,6/4/17
121,505-e-40th-st/sale_92213424,"505 E 40th St, Houston, TX 77022",269000,None,6/4/17
122,5817-darling-st--f/sale_41823743,"5817 Darling St  F, Houston, TX 77007",269000,None,6/4/17
123,5309-avenue-j/sale_24647219,"5309 Avenue J, Houston, TX 77011",269000,None,6/4/17
124,4511-sharon-st/sale_58335764,"4511 Sharon St, Houston, TX 77020",269000,None,6/4/17
125,17-waugh-dr-209/sale_55215583,"17 Waugh Dr #209, Houston, TX 77007",269000,price-reduction,6/4/17
126,526-e-40th-1_2-st/sale_33716894,"526 E 40th 1/2 St, Houston, TX 77022",269000,None,6/4/17
127,522-e-40th-1_2-st/sale_57726464,"522 E 40th 1/2 St, Houston, TX 77022",269000,None,6/4/17
128,405-e-42nd-st/sale_84654231,"405 E 42nd St, Houston, TX 77022",269000,None,6/4/17
129,5314-san-juan-st/sale_32207472,"5314 San Juan St, Houston, TX 77020",269000,None,6/4/17
130,5515-san-juan-st/sale_5918334,"5515 San Juan St, Houston, TX 77020",269000,None,6/4/17
131,3204-cline-st--d/sale_75168885,"3204 Cline St # D, Houston, TX 77020",269500,None,6/4/17
132,1712-aden-dr/sale_88991254,"1712 Aden Dr, Houston, TX 77003",269900,None,6/4/17
133,1312-live-oak-st-106/sale_70749914,"1312 Live Oak St #106, Houston, TX 77003",269900,None,6/4/17
134,928-mckinney-park-ln/sale_35344189,"928 Mckinney Park Ln, Houston, TX 77003",270000,None,6/4/17
135,245-julia-street/sale_90658923,"245 Julia Street, HOUSTON, TX 77022",270000,None,6/4/17
136,2219-runnels-st/sale_61367895,"2219 Runnels St, Houston, TX 77003",274000,price-reduction,6/4/17
137,524-westcross/sale_20358455,"524 Westcross, Houston, TX 77018",274900,None,6/4/17
138,530-westcross/sale_75095453,"530 Westcross, Houston, TX 77018",274900,None,6/4/17
139,532-westcross/sale_27308419,"532 Westcross, Houston, TX 77018",274900,None,6/4/17
140,4806-b-terry/sale_97919014,"4806 B Terry, Houston, TX 77009",274900,price-reduction,6/4/17
141,4806-a-terry/sale_43935854,"4806 A Terry, Houston, TX 77009",274900,price-reduction,6/4/17
142,518-westcross/sale_17535517,"518 Westcross, Houston, TX 77018",274900,price-reduction,6/4/17
143,802-w-heights-hollow-ln/sale_33804466,"802 W Heights Hollow Ln, Houston, TX 77007",275000,None,6/4/17
144,1901-fletcher-st/sale_15253494,"1901 Fletcher St, Houston, TX 77009",275000,None,6/4/17
145,253-julia-street/sale_73039257,"253 Julia Street, HOUSTON, TX 77022",275000,None,6/4/17
146,4506-averill-st/sale_58201562,"4506 Averill St, Houston, TX 77009",275000,None,6/4/17
147,406-e-41st-b/sale_42088334,"406 E 41st B, Houston, TX 77022",275000,None,6/4/17
148,1602-hamblen-st/sale_10353420,"1602 Hamblen St, Houston, TX 77009",275000,price-reduction,6/4/17
149,603-vincent-st/sale_16159042,"603 Vincent St, Houston, TX 77009",275000,price-reduction,6/4/17
150,324-e-39th-st/sale_39925442,"324 E 39th St, Houston, TX 77018",275000,price-reduction,6/4/17
151,715-e-29th-st/sale_33043308,"715 E 29th St, Houston, TX 77009",275000,price-reduction,6/4/17
152,1135-w-30th-st/sale_5337784,"1135 W 30th St, Houston, TX 77018",275000,price-reduction,6/4/17
153,3702-kennon-st/sale_84735504,"3702 Kennon St, Houston, TX 77009",279000,None,6/4/17
154,2508-everett/sale_12566995,"2508 Everett, Houston, TX 77009",279000,price-reduction,6/4/17
155,431-lindale-st/sale_35975234,"431 Lindale St, HOUSTON, TX 77022",279900,None,6/4/17
156,205-cottage-st/sale_19400444,"205 Cottage St, Houston, TX 77009",279900,price-reduction,6/4/17
157,505-jackson-hill-st-309/sale_6800646,"505 Jackson Hill St #309, Houston, TX 77007",279900,price-reduction,6/4/17
158,3820-center-plaza-dr/sale_61203324,"3820 Center Plaza Dr, Houston, TX 77007",280000,None,6/4/17
159,2110-althea-dr/sale_48994325,"2110 Althea Dr, Houston, TX 77018",280000,None,6/4/17
160,650-westcross-st-51/sale_43802331,"650 Westcross St #51, Houston, TX 77018",280000,None,6/4/17
161,4246-t-c-jester-boulevard/sale_70124480,"4246 T C Jester Boulevard, Houston, TX 77018",280000,None,6/4/17
162,1501-ennis-st/sale_19692553,"1501 Ennis St, Houston, TX 77003",280000,None,6/4/17
163,2922-baer-st/sale_96356647,"2922 Baer St, Houston, TX 77020",285000,None,6/4/17
164,216-burr-st/sale_14531165,"216 Burr St, Houston, TX 77011",285000,None,6/4/17
165,4302-busiek/sale_1700493,"4302 Busiek, Houston, TX 77022",285000,None,6/4/17
166,809-herkimer-st/sale_65261025,"809 Herkimer St, Houston, TX 77007",285000,price-reduction,6/4/17
167,912-graceland-st/sale_27787824,"912 Graceland St, Houston, TX 77009",287500,None,6/4/17
168,1507-laird-st/sale_74744478,"1507 Laird St, Houston, TX 77008",288900,None,6/4/17
169,634-crosstimbers/sale_11026458,"634 Crosstimbers, Houston, TX 77022",289000,None,6/4/17
170,3817-elysian-st/sale_87062634,"3817 Elysian St, Houston, TX 77009",289000,None,6/4/17
171,4827-hardy-st/sale_47003324,"4827 Hardy St, Houston, TX 77009",289900,None,6/4/17
172,1115-hamblen-st/sale_80789465,"1115 Hamblen St, Houston, TX 77009",289999,None,6/4/17
173,1545-birdsall--a/sale_44877404,"1545 Birdsall  A, Houston, TX 77007",290000,None,6/4/17
174,516-tabor-st/sale_88955144,"516 Tabor St, Houston, TX 77009",290900,None,6/4/17
175,650-westcross-st-10/sale_12026240,"650 Westcross St #10, Houston, TX 77018",292500,None,6/4/17
176,4819-hardy-st/sale_99348112,"4819 Hardy St, Houston, TX 77009",292900,None,6/4/17
177,650-westcross-st-2/sale_35602534,"650 Westcross St #2, Houston, TX 77018",294552,None,6/4/17
178,310-s-jensen-drive-1/sale_22877362,"310 S Jensen Drive #1, Houston, TX 77003",294900,price-reduction,6/4/17
179,1206-lamonte-ln/sale_57984674,"1206 Lamonte Ln, Houston, TX 77018",295000,None,6/4/17
180,1421-w-26th-st--f/sale_72574354,"1421 W 26th St  F, Houston, TX 77008",295000,None,6/4/17
181,80-n-hutcheson/sale_30932171,"80 N Hutcheson, Houston, TX 77003",296900,None,6/4/17
182,94-n-hutcheson/sale_53326928,"94 N Hutcheson, Houston, TX 77003",297900,None,6/4/17
183,4439-spencer-st/sale_98609555,"4439 Spencer St, Houston, TX 77007",298500,None,6/4/17
184,1204-e-34th-st/sale_13988446,"1204 E 34th St, Houston, TX 77022",299000,None,6/4/17
185,705-schwartz-street/sale_6108649,"705 Schwartz Street, Houston, TX 77020",299000,None,6/4/17
186,1101-genova-st/sale_89078117,"1101 Genova St, Houston, TX 77009",299000,price-reduction,6/4/17
187,5508-lacy-st/sale_41616550,"5508 Lacy St, Houston, TX 77007",299000,price-reduction,6/4/17
188,929-w-cavalcade-st/sale_54155299,"929 W Cavalcade St, Houston, TX 77009",299000,None,6/4/17
189,5424-san-jose-st/sale_37732416,"5424 San Jose St, Houston, TX 77020",299000,price-reduction,6/4/17
190,1226-lamonte-ln/sale_43868464,"1226 Lamonte Ln, Houston, TX 77018",299000,price-reduction,6/4/17
191,1618-fulton-st/sale_75539602,"1618 Fulton St, Houston, TX 77009",299000,price-reduction,6/4/17
192,709-schwartz-street/sale_61840627,"709 Schwartz Street, Houston, TX 77020",299000,None,6/4/17
193,4802-ella-blvd/sale_34902722,"4802 Ella Blvd, Houston, TX 77018",299000,price-reduction,6/4/17
194,3502-cline-st/sale_74315374,"3502 Cline St, Houston, TX 77020",299500,None,6/4/17
195,730-redwing-place-dr/sale_61012124,"730 Redwing Place Dr, Houston, TX 77009",299500,None,6/4/17
196,120-aurora-st/sale_70109014,"120 Aurora St, Houston, TX 77008",299900,None,6/4/17
197,3013-preston-ave/sale_42933744,"3013 Preston Ave, HOUSTON, TX 77003",299900,None,6/4/17
198,2323-hialeah-dr/sale_67078482,"2323 Hialeah Dr, Houston, TX 77018",299900,None,6/4/17
199,761-33rd/sale_5874334,"761 33rd, Houston, TX 77022",299900,None,6/4/17
200,701-kelley-st/sale_3679848,"701 Kelley St, Houston, TX 77009",299900,None,6/4/17
201,401-walton-st/sale_7723853,"401 Walton St, Houston, TX 77009",299900,price-reduction,6/4/17
202,82-n-hutcheson/sale_10772266,"82 N Hutcheson, Houston, TX 77003",299900,None,6/4/17
203,90-n-hutcheson/sale_46574488,"90 N Hutcheson, Houston, TX 77003",299900,None,6/4/17
204,1809-w-15th-st/sale_40138140,"1809 W 15th St, Houston, TX 77008",300000,None,6/4/17
205,1508-ennis-st/sale_9304762,"1508 Ennis St, Houston, TX 77003",300000,None,6/4/17
206,1707-gano-st/sale_68157449,"1707 Gano St, Houston, TX 77009",300000,None,6/4/17
207,1266-w-18th-st/sale_75781764,"1266 W 18th St, Houston, TX 77008",300000,None,6/4/17
208,1311-enid-st/sale_67964273,"1311 Enid St, Houston, TX 77009",300000,price-reduction,6/4/17
209,6116-hamman-st/sale_79633304,"6116 Hamman St, Houston, TX 77007",300000,None,6/4/17
210,76-n-hutcheson/sale_92819753,"76 N Hutcheson, Houston, TX 77003",302900,None,6/4/17
211,713-schwartz-street/sale_18582837,"713 Schwartz Street, Houston, TX 77020",304000,None,6/4/17
212,703-schwartz-street/sale_38435602,"703 Schwartz Street, Houston, TX 77020",304000,None,6/4/17
213,10-n-hutcheson/sale_76265774,"10 N Hutcheson, Houston, TX 77003",304900,None,6/4/17
214,3542-cline-st/sale_62931043,"3542 Cline St, Houston, TX 77020",304900,price-reduction,6/4/17
215,1714-bevis-st/sale_4337936,"1714 Bevis St, Houston, TX 77008",304900,None,6/4/17
216,205-riley-ln/sale_37941148,"205 Riley Ln, HOUSTON, TX 77003",305000,price-reduction,6/4/17
217,1325-east-st/sale_68418420,"1325 East St, Houston, TX 77007",305000,price-reduction,6/4/17
218,84-n-hutcheson/sale_35813594,"84 N Hutcheson, Houston, TX 77003",307900,None,6/4/17
219,96-n-hutcheson/sale_40446675,"96 N Hutcheson, Houston, TX 77003",307900,None,6/4/17
220,1105-patterson/sale_9173644,"1105 Patterson, Houston, TX 77007",308000,None,6/4/17
221,1112-dart-st/sale_27771478,"1112 Dart St, Houston, TX 77007",309000,None,6/4/17
222,2126-saxon-dr/sale_50237556,"2126 Saxon Dr, Houston, TX 77018",309000,None,6/4/17
223,1136-adele-st/sale_18057203,"1136 Adele St, Houston, TX 77009",309000,None,6/4/17
224,3011-preston-ave/sale_24688954,"3011 Preston Ave, HOUSTON, TX 77003",309900,None,6/4/17
225,74-n-hutcheson/sale_89625445,"74 N Hutcheson, Houston, TX 77003",309900,None,6/4/17
226,911-e-32nd-st/sale_53137395,"911 E 32nd St, Houston, TX 77022",309999,None,6/4/17
227,1711-aden-mist-dr/sale_4960564,"1711 Aden Mist Dr, Houston, TX 77003",310000,None,6/4/17
228,4307-chapman/sale_22180144,"4307 Chapman, Houston, TX 77009",310000,price-reduction,6/4/17
229,1515-summer-st/sale_12597428,"1515 Summer St, Houston, TX 77007",310000,price-reduction,6/4/17
230,899-knox/sale_92734411,"899 Knox, Houston, TX 77007",312500,price-reduction,6/4/17
231,136-e-37th-st/sale_43597104,"136 E 37th St, Houston, TX 77018",312700,None,6/4/17
232,1507-wilde-rock-way/sale_8679294,"1507 Wilde Rock Way, Houston, TX 77018",314900,None,6/4/17
233,5086-augusta-st-9/sale_44950544,"5086 Augusta St #9, Houston, TX 77007",315000,None,6/4/17
234,117-n-super-st/sale_9219106,"117 N Super St, Houston, TX 77011",315000,None,6/4/17
235,1213-e-23rd-st/sale_4398921,"1213 E 23rd St, Houston, TX 77009",315000,price-reduction,6/4/17
236,4822-ella-blv/sale_76413364,"4822 Ella Blv, Houston, TX 77018",315000,price-reduction,6/4/17
237,505-jackson-hill-st-308/sale_98854449,"505 Jackson Hill St #308, Houston, TX 77007",315900,None,6/4/17
238,2315-ann-st/sale_98431946,"2315 Ann St, Houston, TX 77003",318000,None,6/4/17
239,207-e-32nd-st/sale_11458696,"207 E 32nd St, Houston, TX 77018",319000,None,6/4/17
240,205-e-32nd-st/sale_44308114,"205 E 32nd St, Houston, TX 77018",319000,None,6/4/17
241,5125-elysian/sale_42680000,"5125 Elysian, Houston, TX 77009",319000,price-reduction,6/4/17
242,203-e-32nd-st/sale_77542274,"203 E 32nd St, Houston, TX 77018",319000,None,6/4/17
243,2215-bastrop-st/sale_42429651,"2215 Bastrop St, Houston, TX 77003",319000,None,6/4/17
244,5127-elysian-street/sale_47587654,"5127 Elysian Street, Houston, TX 77009",319000,None,6/4/17
245,5129-elysian-street/sale_9794935,"5129 Elysian Street, Houston, TX 77009",319000,price-reduction,6/4/17
246,4408-koehler-st--a/sale_95044006,"4408 Koehler St  A, Houston, TX 77007",319000,price-reduction,6/4/17
247,407-b-n-nagle-st/sale_51601333,"407 B N Nagle St, Houston, TX 77003",319000,price-reduction,6/4/17
248,725-schwartz-street/sale_69043244,"725 Schwartz Street, Houston, TX 77020",319000,price-reduction,6/4/17
249,729-schwartz-street/sale_50564860,"729 Schwartz Street, Houston, TX 77020",319000,price-reduction,6/4/17
250,727-schwartz-street/sale_35279011,"727 Schwartz Street, Houston, TX 77020",319000,price-reduction,6/4/17
251,1126-bonner-st/sale_73202724,"1126 Bonner St, Houston, TX 77007",319900,None,6/4/17
252,309-ennis-st/sale_79405441,"309 Ennis St, HOUSTON, TX 77003",319900,None,6/4/17
253,1632-w-13th-st/sale_55490214,"1632 W 13th St, Houston, TX 77008",320000,None,6/4/17
254,2217-bastrop-st/sale_76799040,"2217 Bastrop St, Houston, TX 77003",320000,None,6/4/17
255,407-e-n-nagle-st/sale_34774941,"407 E N Nagle St, Houston, TX 77003",320000,None,6/4/17
256,2634-bevis-st/sale_2290134,"2634 Bevis St, Houston, TX 77008",320000,price-reduction,6/4/17
257,4202-hain-st/sale_46538480,"4202 Hain St, Houston, TX 77009",320000,price-reduction,6/4/17
258,1514-ansbury/sale_62820992,"1514 Ansbury, Houston, TX 77018",320900,price-reduction,6/4/17
259,306-e-39th-st/sale_18542848,"306 E 39th St, Houston, TX 77018",321900,None,6/4/17
260,0-e-39th-st/sale_84453794,"0 E 39th St, Houston, TX 77018",321900,None,6/4/17
261,3018-s-heights-hollow-ln/sale_91379914,"3018 S Heights Hollow Ln, Houston, TX 77007",322500,price-reduction,6/4/17
262,1222-w-17th-st-unit-e/sale_7933233,"1222 W 17th St Unit E, Houston, TX 77008",322500,price-reduction,6/4/17
263,421-w-8th-st/sale_49844354,"421 W 8th St, Houston, TX 77007",323000,None,6/4/17
264,3111-gillespie/sale_63060303,"3111 Gillespie, Houston, TX 77020",323866,None,6/4/17
265,3105-gillespie/sale_94581985,"3105 Gillespie, Houston, TX 77020",323866,None,6/4/17
266,3107-gillespie-street/sale_10471245,"3107 Gillespie Street, Houston, TX 77020",323866,None,6/4/17
267,407-n-nagle-street--a/sale_15133288,"407 N Nagle Street  A, Houston, TX 77003",324000,price-reduction,6/4/17
268,315-ennis-st/sale_67571248,"315 Ennis St, HOUSTON, TX 77003",324900,None,6/4/17
269,2624-bevis-st/sale_97673004,"2624 Bevis St, Houston, TX 77008",324900,price-reduction,6/4/17
270,4431-eigel-st/sale_22269640,"4431 Eigel St, Houston, TX 77007",324900,price-reduction,6/4/17
271,2423-oxford-st/sale_28857941,"2423 Oxford St, Houston, TX 77008",324900,price-reduction,6/4/17
272,4611-b-terry/sale_13739204,"4611 B Terry, Houston, TX 77009",324900,None,6/4/17
273,4611-a-terry/sale_51995371,"4611 A Terry, Houston, TX 77009",324900,None,6/4/17
